BODEGA,CODIGO,NEW_MAX
276,0000135574,4
277,0000123151,2
283,0000119208,2
283,0000134448,4
283,0000142236,2
289,0000124986,7
289,0000127097,7
289,0000132255,4
291,0000119993,9
291,11342,4
295,04163,4
295,04572,4
302,0000123151,4
303,00942,4
303,05949,4
303,13660,8
305,0000118408,2
305,0000132067,2
305,0000134939,8
305,13939,2
305,16977,2
309,0000126608,4
310,0000101880,14
310,0000129920,8
310,0000136204,4
312,0000113526,2
312,0000117387,2
312,0000125209,2
3129,0000137364,6
3132,0000102898,2
3133,00589,4
3134,0000104546,7
3136,0000125103,8
3139,0000131592,3
3139,0000139509,3
314,06246,4
3144,0000109169,4
3144,0000118643,4
3144,0000130663,4
3144,0000130762,18
3145,0000132840,2
3145,06270,2
3146,0000130711,2
3147,0000126356,2
3147,0000129847,2
3147,0000130980,2
3148,0000129938,2
3148,00403,2
3149,16637,2
3151,0000135521,7
3151,00589,7
3151,05787,5
3152,0000130141,7
3152,0000136285,4
3152,07136,4
3152,07434,7
3153,08488,2
3154,07243,2
3157,04471,3
3157,12573,2
317,0000122468,2
317,0000127192,2
317,11970,2
319,12324,4
321,0000123151,4
321,0000127006,10
321,08009,42
322,0000131410,4
324,0000106232,2
324,04419,2
324,08992,2
325,0000123551,2
325,0000130681,2
325,0000131654,4
325,01719,8
325,04735,2
325,29666,14
326,0000140849,4
326,05950,2
326,12132,4
330,0000109080,4
332,0000106481,2
332,0000111557,4
332,0000133052,4
333,07164,4
334,28588,11
336,0000133291,4
336,0000133306,4
336,0000134225,4
337,0000112711,4
337,0000130159,4
337,10239,4
339,0000139401,8
339,05916,4
339,09391,4
346,0000138032,2
346,15834,4
353,0000119906,3
354,0000133289,10
355,01881,4
355,04203,10
358,0000106793,2
358,12057,4
359,0000112662,3
359,02341,3
372,0000128912,8
377,0000101841,4
377,07189,4
382,0000128588,4
384,10863,7
385,0000130158,8
385,02308,4
385,05658,8
385,06697,4
390,0000138080,6
390,12302,4
391,0000128946,13
392,16586,4
394,24376,2
395,0000126647,4
395,06218,4
401,0000112270,2
401,0000120148,10
401,0000133230,2
402,12408,4
402,13435,7
403,00276,2
403,01782,2
403,17773,4
403,17861,2
415,0000120455,4
415,02233,4
415,12171,4
416,0000130878,2
418,13884,2
419,10860,2
424,0000131653,4
427,0000105788,2
427,0000114468,4
431,0000101842,4
431,0000135754,4
431,06049,2
439,10362,2
445,0000121781,2
445,0000132282,2
445,01989,17
445,15202,2
451,0000118775,2
451,0000121169,4
451,0000128680,2
451,0000129933,2
451,0000130727,2
451,02308,7
451,08009,10
452,0000129617,4
452,04499,4
452,08955,4
453,0000105730,2
453,0000134498,11
453,04722,2
453,05819,16
461,0000137403,4
461,0000142192,4
464,0000130785,4
473,02102,7
473,05658,10
475,0000122794,2
477,0000104546,4
479,0000130657,2
479,0000137100,2
479,01763,8
479,02033,2
479,13008,2
485,0000126749,7
485,0000132589,4
485,04033,4
485,12595,4
486,0000128679,2
486,0000134195,2
494,0000130646,2
495,0000126793,2
495,04572,4
497,0000137772,4
504,0000105547,4
504,0000115411,4
504,0000128168,4
504,05645,3
504,07391,4
504,12294,4
509,0000103622,9
509,05736,2
510,0000131996,4
510,05411,7
510,09645,4
511,0000120360,2
513,0000132397,2
518,0000103622,7
518,0000133365,2
518,0000137776,4
518,00696,2
518,05810,2
518,17861,2
521,02233,4
523,0000131447,2
523,13351,2
525,0000105160,9
525,0000109448,2
525,0000116379,11
525,07563,4
527,0000101899,5
528,04499,12
539,04181,3
539,05665,5
540,16723,2
549,09082,10
549,13435,11
